,stim,Image size (pixels),Aspect ratio,RMS contrast,Lightness entropy,Complexity,Edge density,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Color entropy,Mirror symmetry,Balance,DCM distance,DCM x position,DCM y position,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Fourier slope,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Homogeneity,Anisotropy,1st-order EOE,2nd-order EOE,Sparseness,Variability,gray_scale,upscaled,external_color_profile_found,hits,misses,false_alarms,correct_rejections,FAR,HR,CR,memorability,bias,distinctiveness_early,distinctiveness_mid,distinctiveness_late
17,998_phasescrambled.jpg,512,1.0,20.361,7.697,12.565,107.826,124.602,117.132,110.79,49.193,2.524,4.499,0.05955,0.2713,0.5258,59.379,49.646,46.231,20.361,4.718,12.32,0.2602,0.1902,0.208,5.974,31.325,7.763,8.594,-0.04297,0.0,0.6884,0.7226,0.6838,-4.075,0.3938,1.502,2.636,0.9124,0.8763,95.5,0.0001925,4.559,4.555,0.0001758,4.823e-06,0,1,0,58,20,23,55,0.2948717948717949,0.7435897435897436,0.44871794871794873,0.10383388284130002,-0.013309975555061304,0.0305345178624319,0.26689293049859475,0.4055479494499952
18,2048_phasescrambled.jpg,512,1.0,14.082,7.344,11.493,94.67,119.676,102.091,103.04,44.499,7.159,2.079,0.9848,0.1607,0.4695,37.871,33.518,34.192,14.082,2.261,2.412,0.04724,0.05453,0.1483,4.828,28.741,3.638,3.906,-0.01172,-0.01562,0.7299,0.7285,0.7151,-3.964,0.4163,1.544,2.636,0.9231,0.91,97.007,0.0002923,3.836,4.262,0.0001686,2.3e-06,0,1,0,42,36,21,57,0.2692307692307692,0.5384615384615384,0.2692307692307692,-0.06689746096604415,-0.12986833422908006,0.05504135305660145,0.3164999566434676,0.4711918806560129
19,995_phasescrambled.jpg,512,1.0,21.426,7.767,22.613,192.797,106.975,117.553,121.372,47.952,-2.487,-3.144,0.5215,0.2598,0.5037,52.36,53.393,61.176,21.426,4.248,11.58,0.1948,0.1933,0.2214,6.781,28.334,6.38,9.536,0.03906,-0.02734,0.7299,0.7147,0.7041,-4.014,0.501,1.656,2.742,0.9358,0.8904,98.102,0.00017,4.37,4.543,0.000161,3.592e-06,0,1,0,44,34,22,56,0.28205128205128205,0.5641025641025641,0.28205128205128205,-0.04995067102234613,-0.10674617914983098,0.08357943006845986,0.3073011316643425,0.27622355639811946
20,1778_phasescrambled.jpg,512,1.0,20.216,7.705,9.22,87.671,109.52,110.47,111.442,45.777,-0.1306,-0.5942,0.5801,0.09069,0.4469,49.004,49.002,50.671,20.216,1.81,3.212,0.3291,0.1249,0.1949,5.893,20.255,6.392,7.075,0.003906,-0.03516,0.729,0.6705,0.6592,-4.19,0.4176,1.347,2.566,0.8754,0.8818,95.037,0.0005735,2.754,3.258,0.0001846,3.496e-06,0,1,0,51,27,36,42,0.46153846153846156,0.6538461538461539,0.1923076923076923,-0.05216169867048359,0.09391440705749554,0.045567694393163195,0.1735012955149219,0.4197465810304848
21,1855_phasescrambled.jpg,512,1.0,23.641,7.804,8.495,80.331,137.772,137.772,138.016,56.824,1.95,1.148,0.9489,0.3044,0.6249,48.987,64.249,80.262,23.641,8.317,16.826,0.4678,0.2079,0.2477,6.848,42.846,9.939,3.494,-0.007812,0.01562,0.726,0.6105,0.6013,-4.129,0.3638,1.189,2.586,0.8348,0.8393,91.327,0.0005401,2.862,3.322,0.0002057,6.166e-06,0,1,0,57,21,43,35,0.5512820512820513,0.7307692307692307,0.1794871794871794,-0.02475934501122984,0.20889346026855882,0.029883230395737377,0.17660957611958625,0.3248345838196054
22,1032_phasescrambled.jpg,512,1.0,16.066,7.351,14.0,105.723,155.799,140.72,132.139,59.656,5.193,7.521,0.08813,0.248,0.6317,30.39,47.99,51.38,16.066,13.286,13.296,0.2108,0.2186,0.1265,7.483,16.023,7.46,11.049,-0.007812,0.05469,0.7706,0.6625,0.6563,-3.561,0.6394,1.718,2.741,0.942,0.8682,93.945,0.0001613,4.436,4.548,0.0001307,4.158e-06,0,1,0,49,29,18,60,0.23076923076923078,0.6282051282051282,0.3974358974358974,0.030503080116139114,-0.1230612469083468,0.05959655928378067,0.3180269875373954,0.32261968893685794
23,1878_phasescrambled.jpg,512,1.0,23.631,7.792,14.692,120.151,118.024,84.077,82.101,39.308,14.758,8.409,0.9994,0.4771,0.4907,66.525,61.187,59.433,23.631,15.844,13.321,0.1706,0.2699,0.2414,6.584,43.34,13.765,18.438,0.05469,-0.07422,0.62,0.6265,0.5817,-4.076,0.4638,1.379,2.641,0.8687,0.8336,90.583,0.0002821,4.176,4.454,0.0001468,7.72e-06,0,1,0,46,32,25,53,0.32051282051282054,0.5897435897435898,0.2692307692307692,-0.044722889164568236,-0.06081773008392377,0.07428323235283042,0.28415260427474065,0.5234334612536254
24,1258_phasescrambled.jpg,512,1.0,17.669,7.601,13.955,100.475,54.616,66.347,82.462,27.185,0.4494,-10.5823,0.6029,0.4052,0.3313,36.609,41.773,51.497,17.669,2.486,10.463,0.1475,0.2251,0.1957,5.503,39.5,11.284,16.257,0.04688,-0.06641,0.7091,0.6987,0.6659,-3.643,0.5404,1.585,2.757,0.9147,0.8981,92.952,0.0001669,4.481,4.561,0.0001532,3.471e-06,0,1,0,45,33,24,54,0.3076923076923077,0.5769230769230769,0.26923076923076916,-0.05026653211493726,-0.07808038112021287,0.06070365058930268,0.24159696112891077,0.3314841877554215
25,1070_phasescrambled.jpg,512,1.0,13.845,7.136,8.408,78.968,155.128,169.585,183.198,68.576,-1.573,-8.457,0.542,0.1746,0.7321,37.565,37.022,45.932,13.845,2.197,12.711,0.1659,0.1285,0.1723,5.733,22.303,8.447,9.407,-0.003906,0.04688,0.7484,0.6877,0.6817,-3.9,0.4759,1.415,2.641,0.9032,0.8772,91.779,0.0006136,2.447,2.962,0.0002321,3.521e-06,0,1,0,50,28,39,39,0.5,0.6410256410256411,0.14102564102564108,-0.08114335779269266,0.12226434399452257,0.05062144076472316,0.21812966402150144,0.3605566533258742
26,585_phasescrambled.jpg,512,1.0,19.352,7.656,17.981,130.511,114.776,134.313,83.138,52.837,-15.517,24.515,0.2523,0.44,0.5327,49.881,50.118,46.285,19.352,6.937,17.056,0.09456,0.2105,0.1963,6.026,31.512,5.222,4.752,0.003906,-0.02344,0.7104,0.7335,0.6991,-3.429,0.6528,1.642,2.76,0.9189,0.8516,94.806,0.0001486,4.548,4.568,0.0001357,4.12e-06,0,1,0,56,22,31,47,0.3974358974358974,0.717948717948718,0.32051282051282054,0.03415155651096169,0.06619619230565066,0.06726465091284158,0.23450438378473767,0.33977094870685026
