,stim,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability,Unnamed: 48,subject,block,hits,misses,false_alarms,correct_rejections,FAR,HR,distinctiveness_early,distinctiveness_mid,distinctiveness_late,bias,memorability
308,mountains_00228_LD.png,1400,1.333,14.312,0.1466,7.075,57.989,0.0,249.665,249.665,249.665,97.908,-0.002404,0.004556,0.0,0.0,0.9791,36.495,36.495,36.495,14.312,0.0003513,0.000666,-0.0,0.0,0.1431,0.0731,13.724,-0.00625,-0.06833,17.965,0.4277,0.3466,0.4073,-1.157,-0.4763,-0.5157,0.004202,1.363,2.388,0.6221,0.8035,0.00118,93.062,3.94,4.343,0.0008463,3.996e-05,,5172871,1014,26,36,35,114,-0.72280668820074,-0.2035442315324862,0.009424188376227388,0.16299446308136936,0.41021285707530597,0.028980597533646568,-0.20090299184363714
309,beaches_00385_LD.png,1400,1.333,11.466,0.1021,3.898,30.903,0.0,251.602,251.602,251.602,98.668,-0.002422,0.004591,0.0,0.0,0.9867,29.239,29.239,29.239,11.466,0.0002815,0.0005336,-0.0,0.0,0.1147,0.05705,26.357,-0.1275,-0.03333,36.069,0.3332,0.3702,0.2907,-1.219,-0.506,-0.4562,0.005683,1.319,2.468,0.3034,0.2855,0.0018,81.734,3.725,4.134,0.001267,3.424e-05,,5601295,1063,37,41,18,130,-1.1669186011353172,-0.06431683512387441,0.012888517349724496,0.13439507448458657,0.3918060459480322,-0.25371412938841376,0.16883117007758963
310,beaches_00285_LD.png,1400,1.333,11.717,0.1058,4.148,39.082,0.0,251.45,251.45,251.45,98.608,-0.002421,0.004589,0.0,0.0,0.9861,29.879,29.879,29.879,11.717,0.0002876,0.0005452,-0.0,0.0,0.1172,0.02685,31.954,0.03875,0.155,30.295,0.4272,0.269,0.2536,-1.19,-0.4619,-0.4883,0.005945,1.15,2.165,0.3743,0.7661,0.001535,91.732,2.668,3.457,0.0009531,3.035e-05,,5926892,1062,25,58,18,138,-1.1983797023069245,-0.5209384652264952,0.01124827421309018,0.18616641698965047,0.475793262708242,-0.5425895966600041,-0.1861956998535821
311,city_00344_LD.png,1400,1.333,19.766,0.2456,12.132,97.097,0.0,244.615,244.615,244.615,95.927,-0.002355,0.004464,0.0,0.0,0.9593,50.403,50.403,50.403,19.766,0.0004852,0.0009198,-0.0,0.0,0.1977,0.3106,21.272,0.03125,0.1017,20.798,0.4689,0.3668,0.3379,-1.114,-0.4797,-0.4268,0.009734,1.466,2.561,0.5799,0.8573,0.001343,94.397,3.52,4.1,0.0005872,2.944e-05,,5791423,1046,40,32,21,142,-1.1319184726286595,0.13971029888186212,0.020645371532413016,0.2275916431669252,0.4273668645755004,-0.10752439694722848,0.31539392979114034
312,mountains_00685_LD.png,1400,1.333,11.44,0.1017,5.032,39.362,0.0,251.618,251.618,251.618,98.674,-0.002422,0.004592,0.0,0.0,0.9867,29.171,29.171,29.171,11.44,0.0002808,0.0005323,-0.0,0.0,0.1144,0.02576,9.347,-0.0175,-0.04333,14.723,0.3146,0.3512,0.3198,-1.133,-0.4655,-0.4896,0.005683,1.275,2.286,0.5461,0.7267,0.001205,95.227,3.915,4.254,0.0009686,3.249e-05,,5097771,907,29,35,34,109,-0.7135192986004638,-0.1177698745790953,0.016722822906324118,0.20431253668982444,0.4349751671408842,0.08600477775689008,-0.1361593528802449
313,highways_00331_LD.png,1400,1.333,16.382,0.1822,9.12,69.529,0.0,247.963,247.963,247.963,97.24,-0.002387,0.004525,0.0,0.0,0.9724,41.774,41.774,41.774,16.382,0.0004022,0.0007623,-0.0,0.0,0.1638,0.1262,20.68,0.05375,-0.08833,17.338,0.4963,0.2912,0.2779,-1.133,-0.4827,-0.4923,0.004872,1.436,2.489,0.4818,0.7853,0.001313,90.756,4.348,4.451,0.0007345,3.671e-05,,5504368,948,34,38,22,129,-1.0550756478933867,-0.06968492031845568,0.014556191505657767,0.1937079038761362,0.45868494719397157,-0.16540798178111016,0.09998578662096247
314,mountains_00363_LD.png,1400,1.333,9.905,0.08018,3.716,32.428,0.0,252.473,252.473,252.473,99.009,-0.002431,0.004607,0.0,0.0,0.9901,25.257,25.257,25.257,9.905,0.0002432,0.0004609,-0.0,0.0,0.09905,0.01122,10.76,0.015,-0.05167,15.638,0.3719,0.3389,0.3256,-1.144,-0.468,-0.4898,0.006091,1.148,2.114,0.5603,0.7293,0.001137,95.378,4.073,4.356,0.0009449,5.321e-05,,5100168,930,34,37,31,108,-0.7620282135812143,-0.05298171210299662,0.012476958401749394,0.2194994735145844,0.2886297493407897,0.0837018660672657,-0.055256216801420066
315,offices_00184_LD.png,1400,1.333,23.122,0.3141,15.631,119.019,0.0,240.548,240.548,240.548,94.333,-0.002316,0.00439,0.0,0.0,0.9433,58.96,58.96,58.96,23.122,0.0005676,0.001076,-0.0,0.0,0.2312,0.8422,7.036,-0.01125,0.03333,13.005,0.4874,0.4386,0.4276,-1.245,-0.5039,-0.483,0.01091,1.497,2.53,0.6603,0.843,0.00134,98.688,3.417,3.896,0.0004157,2.823e-05,,5643708,956,40,37,8,143,-1.6166203108543593,0.04884984243636232,0.022211678930077344,0.19307167244202544,0.5010096518004787,-0.55599651660698,0.5204896450383063
316,beaches_00581_LD.png,1400,1.333,15.771,0.1714,7.85,55.66,0.0,248.492,248.492,248.492,97.448,-0.002392,0.004535,0.0,0.0,0.9745,40.215,40.215,40.215,15.771,0.0003872,0.0007339,-0.0,0.0,0.1577,0.1024,37.684,0.05,-0.1817,30.805,0.4893,0.2115,0.1906,-1.101,-0.4688,-0.4066,0.00395,1.469,2.41,0.3185,0.7815,0.001531,86.937,3.446,4.028,0.000906,3.412e-05,,5609458,993,47,31,8,143,-1.6166203108543593,0.2599896012310702,0.010782869841883978,0.2414411523142561,0.37844492711546196,-0.4343102546421478,0.693036599207059
317,beaches_00179_LD.png,1400,1.333,12.992,0.1253,5.677,46.279,0.0,250.62,250.62,250.62,98.282,-0.002413,0.004573,0.0,0.0,0.9828,33.13,33.13,33.13,12.992,0.000319,0.0006046,-0.0,0.0,0.1299,0.0703,8.814,-0.0425,0.01167,17.311,0.3605,0.3486,0.3689,-1.259,-0.4915,-0.5028,0.002423,1.29,2.36,0.5526,0.7744,0.001215,93.31,4.118,4.426,0.0009389,3.513e-05,,5428409,941,32,44,39,106,-0.6159446754412703,-0.199201324789267,0.01165917538231181,0.1932189030474867,0.38150087373411096,0.1188129768728452,-0.25894172229360213
318,offices_20081106_00094_LD.png,1400,1.333,19.555,0.2415,11.768,82.627,0.0,244.844,244.844,244.844,96.017,-0.002357,0.004468,0.0,0.0,0.9602,49.866,49.866,49.866,19.555,0.0004801,0.00091,-0.0,0.0,0.1956,0.1757,15.734,0.02375,-0.075,12.7,0.3542,0.2983,0.3085,-1.257,-0.4542,-0.4571,0.005803,1.451,2.628,0.5817,0.8488,0.001302,96.435,3.756,4.241,0.0006846,3.009e-05,,5524349,969,37,38,43,106,-0.5575068092664821,-0.01671163299874855,0.018978543704861472,0.18860858419602078,0.45977463659353207,0.2717437391414471,-0.14348760255417825
